1	2	23	1	45	1	67	4	89	3
2	3	24	5	46	4	68	3	90	3
3	2	25	3	47	1	69	4	91	2
4	5	26	4	48	5	70	2	92	4
5	5	27	3	49	4	71	5	93	3
6	1	28	5	50	2	72	2	94	3
7	3	29	3	51	3	73	4	95	5
8	5	30	2	52	3	74	4	96	3
9	2	31	1	53	4	75		97	3
10	1	32	4	54	4	76	5	98	2
11	5	33	4	55	2	77		99	
12	3	34	3	56	1	78	3	100	1
13	4	35	4	57	2	79	5	101	2
14	4	36	4	58	2	80	1	102	2
15	5	37	3	59	2	81	4	103	3
16	2	38	2	60	1	82	1	104	3
17	5	39	3	61	4	83	5	105	2
18	3	40	1	62	3	84	3	106	2
19	1	41	3	63	2	85		107	2
20	3	42	3	64	5	86	4	108	1
21	4	43	5	65	3	87		109	3
22	5	44	2	66	1	88	4	110	4
