1	2	48	4	95	1	142	5	189	3
2	1	49	1	96	1	143	2	190	5
3	4	50	3	97	2	144	3	191	3
4	3	51	2	98	3	145	1	192	2
5	4	52	4	99	2	146	3	193	1
6	1	53	5	100	5	147	2	194	4
7	2	54	3	101	2	148	2	195	4
8	2	55	2	102		149	5	196	5
9	5	56	2	103	1	150	2	197	3
10	4	57	2	104	3	151	4	198	2
11	4	58	4	105	4	152	5	199	1
12	2	59	1	106	1	153	4	200	3
13	4	60		107	2	154	5	201	2
14	1	61	2	108	3	155	4	202	3
15	2	62	2	109		156	1	203	1
16	1	63	5	110	4	157	2	204	5
17	2	64	4	111	3	158	5	205	4
18	4	65	1	112	5	159	5	206	1
19	2	66	5	113	1	160	1	207	5
20	4	67	1	114	1	161	1	208	4
21	2	68	3	115	3	162	4	209	5
22		69	2	116	1	163	5	210	
23	3	70	2	117	5	164	4	211	4
24	2	71	1	118	5	165	1	212	3
25	2	72	1	119	3	166	2	213	4
26	4	73	3	120	1	167	2	214	1
27	4	74	4	121		168	1	215	3
28	2	75	3	122	3	169	4	216	5
29	4	76	5	123	5	170	5	217	4
30	2	77	3	124	2	171	3	218	3
31	1	78	1	125	3	172	1	219	1
32	5	79	3	126	4	173	4	220	3
33	5	80	4	127	4	174	1	221	2
34	5	81	2	128	2	175	5	222	2
35	4	82	5	129	3	176	4	223	5
36	3	83	4	130	5	177	1	224	1
37	3	84	3	131	2	178	5	225	2
38	4	85	5	132	2	179	1	226	3
39	3	86	1	133		180	3	227	1
40	4	87	2	134	5	181	2	228	1
41	4	88	5	135	3	182	5	229	2
42	3	89	3	136		183	4	230	2
43	1	90	4	137	5	184	3	231	5
44	4	91	1	138	3	185	5	232	1
45	2	92	1	139	1	186	2	233	4
46	5	93	5	140	3	187	3	234	2
47	5	94	3	141	1	188	4	235	3
