1	1	48	5	95	3	142	4	189	1
2	2	49	5	96	2	143	1	190	3
3	4	50	2	97	2	144	5	191	2
4	3	51	5	98	2	145	2	192	5
5	5	52	3	99	1	146	2	193	4
6	4	53	3	100	5	147	4	194	1
7	3	54	2	101	3	148	2	195	5
8	1	55	3	102	1	149	2	196	4
9	2	56	4	103	3	150	2	197	5
10	3	57	3	104	1	151	5	198	2
11	1	58	4	105	5	152	5	199	3
12	4	59	1	106	2	153		200	5
13	3	60	1	107	4	154	3	201	5
14	5	61	5	108	5	155	3	202	2
15	4	62	4	109	2	156	1	203	2
16	2	63	3	110	5	157	4	204	2
17	1	64	4	111	5	158	2	205	4
18	5	65	5	112	3	159	2	206	2
19	4	66	5	113	1	160	4	207	5
20	1	67	5	114	2	161	2	208	3
21	5	68	3	115	4	162	1	209	3
22	2	69	1	116	1	163	2	210	3
23	4	70	3	117	5	164	2	211	2
24	2	71	3	118	4	165	4	212	1
25	4	72	5	119	5	166	5	213	5
26	3	73	3	120	5	167	2	214	5
27	4	74	2	121		168	1	215	4
28	1	75	4	122	3	169	4	216	1
29	1	76	5	123	3	170	5	217	2
30	1	77	2	124	3	171	4	218	3
31	2	78	2	125	1	172	5	219	1
32	5	79	3	126	2	173	4	220	4
33	1	80	2	127	2	174	1	221	1
34	4	81	2	128	5	175	2	222	4
35	2	82	5	129		176	1	223	5
36	1	83	4	130	4	177	4	224	3
37	3	84	3	131	1	178	1	225	1
38	1	85	2	132	4	179	5	226	3
39	1	86	2	133	5	180	3	227	3
40	5	87	3	134	2	181	2	228	3
41	1	88	3	135	2	182		229	4
42	4	89	5	136	1	183		230	
43	4	90	4	137	3	184	3	231	2
44	3	91	5	138	4	185	1	232	
45	5	92		139	5	186	4	233	5
46	5	93	1	140	4	187	1	234	2
47	3	94	1	141	1	188	1	235	4
