1	5	39	3	77	2	115	1	153	1
2	3	40	4	78	3	116	4	154	5
3	3	41	1	79	4	117	4	155	4
4	2	42		80	5	118	5	156	1
5	1	43	3	81	1	119	3	157	5
6	2	44	3	82	2	120	5	158	2
7	4	45		83	1	121	3	159	4
8	3	46	1	84	4	122	2	160	1
9	3	47	4	85	2	123	2	161	2
10	2	48	1	86	4	124	4	162	5
11	1	49	3	87	4	125	4	163	4
12	3	50		88	1	126	1	164	3
13	1	51	2	89	5	127	1	165	3
14	2	52	2	90	2	128	3	166	1
15	2	53	1	91	4	129	3	167	2
16	3	54	4	92	4	130	4	168	1
17	4	55	1	93	3	131	1	169	5
18	1	56	3	94	1	132		170	3
19	3	57	3	95	1	133	4	171	3
20	2	58	2	96	3	134	3	172	3
21	1	59	4	97	2	135	2	173	5
22	4	60	2	98	3	136	3	174	4
23	2	61	2	99	4	137	4	175	1
24	1	62	2	100	2	138	4	176	1
25	3	63	4	101	4	139	1	177	1
26	5	64		102	4	140	3	178	1
27	2	65	2	103	4	141	4	179	4
28	1	66	4	104	3	142	2	180	1
29	2	67	4	105	4	143	1	181	5
30	3	68	3	106	2	144	3	182	5
31	5	69		107	4	145	4	183	5
32	5	70	4	108		146	4	184	5
33	3	71	2	109	4	147	1	185	2
34	2	72	1	110	1	148	4	186	5
35	2	73	2	111	1	149	3	187	1
36	2	74	4	112	5	150	5	188	2
37	2	75	3	113	1	151	3	189	2
38	1	76		114		152	3	190	2
